19199.4375,0.95,760.0,40.0,6010.0,9010.0,5255.0
18823.8125,0.95,760.0,40.0,6010.0,9010.0,5305.0
18448.1875,0.95,760.0,40.0,6010.0,9010.0,5355.0
18072.5625,0.95,760.0,40.0,6010.0,9010.0,5405.0
17696.9375,0.95,760.0,40.0,6010.0,9010.0,5455.0
17321.3125,0.95,760.0,40.0,6010.0,9010.0,5505.0
16945.6875,0.95,760.0,40.0,6010.0,9010.0,5555.0
16570.0625,0.95,760.0,40.0,6010.0,9010.0,5605.0
16194.4375,0.95,760.0,40.0,6010.0,9010.0,5655.0
15818.8125,0.95,760.0,40.0,6010.0,9010.0,5705.0
15443.1875,0.95,760.0,40.0,6010.0,9010.0,5755.0
15067.5625,0.95,760.0,40.0,6010.0,9010.0,5805.0
14691.9375,0.95,760.0,40.0,6010.0,9010.0,5855.0
14316.3125,0.95,760.0,40.0,6010.0,9010.0,5905.0
13940.6875,0.95,760.0,40.0,6010.0,9010.0,5955.0
13565.0625,0.95,760.0,40.0,6010.0,9010.0,6005.0
13189.4375,0.95,760.0,40.0,6010.0,9010.0,6055.0
12813.8125,0.95,760.0,40.0,6010.0,9010.0,6105.0
12438.1875,0.95,760.0,40.0,6010.0,9010.0,6155.0
12062.5625,0.95,760.0,40.0,6010.0,9010.0,6205.0
11686.9375,0.95,760.0,40.0,6010.0,9010.0,6255.0
11311.3125,0.95,760.0,40.0,6010.0,9010.0,6305.0
10935.6875,0.95,760.0,40.0,6010.0,9010.0,6355.0
10560.0625,0.95,760.0,40.0,6010.0,9010.0,6405.0
10184.4375,0.95,760.0,40.0,6010.0,9010.0,6455.0
9808.8125,0.95,760.0,40.0,6010.0,9010.0,6505.0
9433.1875,0.95,760.0,40.0,6010.0,9010.0,6555.0
9057.5625,0.95,760.0,40.0,6010.0,9010.0,6605.0
8681.9375,0.95,760.0,40.0,6010.0,9010.0,6655.0
8306.3125,0.95,760.0,40.0,6010.0,9010.0,6705.0
7930.6875,0.95,760.0,40.0,6010.0,9010.0,6755.0
7555.0625,0.95,760.0,40.0,6010.0,9010.0,6805.0
7179.4375,0.95,760.0,40.0,6010.0,9010.0,6855.0
6803.8125,0.95,760.0,40.0,6010.0,9010.0,6905.0
6428.1875,0.95,760.0,40.0,6010.0,9010.0,6955.0
6052.5625,0.95,760.0,40.0,6010.0,9010.0,7005.0
5676.9375,0.95,760.0,40.0,6010.0,9010.0,7055.0
5301.3125,0.95,760.0,40.0,6010.0,9010.0,7105.0
4925.6875,0.95,760.0,40.0,6010.0,9010.0,7155.0
4550.0625,0.95,760.0,40.0,6010.0,9010.0,7205.0
4174.4375,0.95,760.0,40.0,6010.0,9010.0,7255.0
3798.8125,0.95,760.0,40.0,6010.0,9010.0,7305.0
3423.1875,0.95,760.0,40.0,6010.0,9010.0,7355.0
3047.5625,0.95,760.0,40.0,6010.0,9010.0,7405.0
2671.9375,0.95,760.0,40.0,6010.0,9010.0,7455.0
2296.3125,0.95,760.0,40.0,6010.0,9010.0,7505.0
1920.6875,0.95,760.0,40.0,6010.0,9010.0,7555.0
1545.0625,0.95,760.0,40.0,6010.0,9010.0,7605.0
1169.4375,0.95,760.0,40.0,6010.0,9010.0,7655.0
793.8125,0.95,760.0,40.0,6010.0,9010.0,7705.0
418.1875,0.95,760.0,40.0,6010.0,9010.0,7755.0
42.5625,0.95,760.0,40.0,6010.0,9010.0,7805.0
60268.1875,0.95,760.0,40.0,6010.0,9260.0,5.0
59892.5625,0.95,760.0,40.0,6010.0,9260.0,55.0
59516.9375,0.95,760.0,40.0,6010.0,9260.0,105.0
59141.3125,0.95,760.0,40.0,6010.0,9260.0,155.0
58765.6875,0.95,760.0,40.0,6010.0,9260.0,205.0
58390.0625,0.95,760.0,40.0,6010.0,9260.0,255.0
58014.4375,0.95,760.0,40.0,6010.0,9260.0,305.0
57638.8125,0.95,760.0,40.0,6010.0,9260.0,355.0
57263.1875,0.95,760.0,40.0,6010.0,9260.0,405.0
56887.5625,0.95,760.0,40.0,6010.0,9260.0,455.0
56511.9375,0.95,760.0,40.0,6010.0,9260.0,505.0
56136.3125,0.95,760.0,40.0,6010.0,9260.0,555.0
55760.6875,0.95,760.0,40.0,6010.0,9260.0,605.0
55385.0625,0.95,760.0,40.0,6010.0,9260.0,655.0
55009.4375,0.95,760.0,40.0,6010.0,9260.0,705.0
54633.8125,0.95,760.0,40.0,6010.0,9260.0,755.0
54258.1875,0.95,760.0,40.0,6010.0,9260.0,805.0
53882.5625,0.95,760.0,40.0,6010.0,9260.0,855.0
53506.9375,0.95,760.0,40.0,6010.0,9260.0,905.0
53131.3125,0.95,760.0,40.0,6010.0,9260.0,955.0
52755.6875,0.95,760.0,40.0,6010.0,9260.0,1005.0
52380.0625,0.95,760.0,40.0,6010.0,9260.0,1055.0
52004.4375,0.95,760.0,40.0,6010.0,9260.0,1105.0
51628.8125,0.95,760.0,40.0,6010.0,9260.0,1155.0
51253.1875,0.95,760.0,40.0,6010.0,9260.0,1205.0
50877.5625,0.95,760.0,40.0,6010.0,9260.0,1255.0
50501.9375,0.95,760.0,40.0,6010.0,9260.0,1305.0
50126.3125,0.95,760.0,40.0,6010.0,9260.0,1355.0
49750.6875,0.95,760.0,40.0,6010.0,9260.0,1405.0
49375.0625,0.95,760.0,40.0,6010.0,9260.0,1455.0
48999.4375,0.95,760.0,40.0,6010.0,9260.0,1505.0
48623.8125,0.95,760.0,40.0,6010.0,9260.0,1555.0
48248.1875,0.95,760.0,40.0,6010.0,9260.0,1605.0
47872.5625,0.95,760.0,40.0,6010.0,9260.0,1655.0
47496.9375,0.95,760.0,40.0,6010.0,9260.0,1705.0
47121.3125,0.95,760.0,40.0,6010.0,9260.0,1755.0
46745.6875,0.95,760.0,40.0,6010.0,9260.0,1805.0
46370.0625,0.95,760.0,40.0,6010.0,9260.0,1855.0
45994.4375,0.95,760.0,40.0,6010.0,9260.0,1905.0
45618.8125,0.95,760.0,40.0,6010.0,9260.0,1955.0
45243.1875,0.95,760.0,40.0,6010.0,9260.0,2005.0
44867.5625,0.95,760.0,40.0,6010.0,9260.0,2055.0
44491.9375,0.95,760.0,40.0,6010.0,9260.0,2105.0
44116.3125,0.95,760.0,40.0,6010.0,9260.0,2155.0
43740.6875,0.95,760.0,40.0,6010.0,9260.0,2205.0
43365.0625,0.95,760.0,40.0,6010.0,9260.0,2255.0
42989.4375,0.95,760.0,40.0,6010.0,9260.0,2305.0
42613.8125,0.95,760.0,40.0,6010.0,9260.0,2355.0
42238.1875,0.95,760.0,40.0,6010.0,9260.0,2405.0
41862.5625,0.95,760.0,40.0,6010.0,9260.0,2455.0
41486.9375,0.95,760.0,40.0,6010.0,9260.0,2505.0
41111.3125,0.95,760.0,40.0,6010.0,9260.0,2555.0
40735.6875,0.95,760.0,40.0,6010.0,9260.0,2605.0
40360.0625,0.95,760.0,40.0,6010.0,9260.0,2655.0
39984.4375,0.95,760.0,40.0,6010.0,9260.0,2705.0
39608.8125,0.95,760.0,40.0,6010.0,9260.0,2755.0
39233.1875,0.95,760.0,40.0,6010.0,9260.0,2805.0
38857.5625,0.95,760.0,40.0,6010.0,9260.0,2855.0
38481.9375,0.95,760.0,40.0,6010.0,9260.0,2905.0
38106.3125,0.95,760.0,40.0,6010.0,9260.0,2955.0
37730.6875,0.95,760.0,40.0,6010.0,9260.0,3005.0
37355.0625,0.95,760.0,40.0,6010.0,9260.0,3055.0
36979.4375,0.95,760.0,40.0,6010.0,9260.0,3105.0
36603.8125,0.95,760.0,40.0,6010.0,9260.0,3155.0
36228.1875,0.95,760.0,40.0,6010.0,9260.0,3205.0
35852.5625,0.95,760.0,40.0,6010.0,9260.0,3255.0
35476.9375,0.95,760.0,40.0,6010.0,9260.0,3305.0
35101.3125,0.95,760.0,40.0,6010.0,9260.0,3355.0
34725.6875,0.95,760.0,40.0,6010.0,9260.0,3405.0
34350.0625,0.95,760.0,40.0,6010.0,9260.0,3455.0
33974.4375,0.95,760.0,40.0,6010.0,9260.0,3505.0
33598.8125,0.95,760.0,40.0,6010.0,9260.0,3555.0
33223.1875,0.95,760.0,40.0,6010.0,9260.0,3605.0
32847.5625,0.95,760.0,40.0,6010.0,9260.0,3655.0
32471.9375,0.95,760.0,40.0,6010.0,9260.0,3705.0
32096.3125,0.95,760.0,40.0,6010.0,9260.0,3755.0
31720.6875,0.95,760.0,40.0,6010.0,9260.0,3805.0
31345.0625,0.95,760.0,40.0,6010.0,9260.0,3855.0
30969.4375,0.95,760.0,40.0,6010.0,9260.0,3905.0
30593.8125,0.95,760.0,40.0,6010.0,9260.0,3955.0
30218.1875,0.95,760.0,40.0,6010.0,9260.0,4005.0
29842.5625,0.95,760.0,40.0,6010.0,9260.0,4055.0
29466.9375,0.95,760.0,40.0,6010.0,9260.0,4105.0
29091.3125,0.95,760.0,40.0,6010.0,9260.0,4155.0
28715.6875,0.95,760.0,40.0,6010.0,9260.0,4205.0
28340.0625,0.95,760.0,40.0,6010.0,9260.0,4255.0
27964.4375,0.95,760.0,40.0,6010.0,9260.0,4305.0
27588.8125,0.95,760.0,40.0,6010.0,9260.0,4355.0
27213.1875,0.95,760.0,40.0,6010.0,9260.0,4405.0
26837.5625,0.95,760.0,40.0,6010.0,9260.0,4455.0
26461.9375,0.95,760.0,40.0,6010.0,9260.0,4505.0
26086.3125,0.95,760.0,40.0,6010.0,9260.0,4555.0
25710.6875,0.95,760.0,40.0,6010.0,9260.0,4605.0
25335.0625,0.95,760.0,40.0,6010.0,9260.0,4655.0
24959.4375,0.95,760.0,40.0,6010.0,9260.0,4705.0
24583.8125,0.95,760.0,40.0,6010.0,9260.0,4755.0
24208.1875,0.95,760.0,40.0,6010.0,9260.0,4805.0
23832.5625,0.95,760.0,40.0,6010.0,9260.0,4855.0
23456.9375,0.95,760.0,40.0,6010.0,9260.0,4905.0
23081.3125,0.95,760.0,40.0,6010.0,9260.0,4955.0
22705.6875,0.95,760.0,40.0,6010.0,9260.0,5005.0
22330.0625,0.95,760.0,40.0,6010.0,9260.0,5055.0
21954.4375,0.95,760.0,40.0,6010.0,9260.0,5105.0
21578.8125,0.95,760.0,40.0,6010.0,9260.0,5155.0
